# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
412;Vereine / Mannschaften (Fußball / Eishockey);Vereine / Mannschaften (Fußball / Eishockey);ZIR;V1.0;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular;Sportart
412_366;SG Phönix Wildau 95 e. V.;0;1;0;NULL;;;;Fußball
412_367;SG Rot-Weiß Thalheim 31 e. V.;0;1;0;NULL;;;;Fußball
412_368;SG Sonnenhof Großaspach;0;1;0;NULL;;;;Fußball
412_369;SG Sportfreunde Johannisthal 1930;0;1;0;NULL;;;;Fußball
412_37;1. Fußballclub Merseburg e. V.;0;1;0;NULL;;;;Fußball
412_370;SG Union Klosterfelde;0;1;0;NULL;;;;Fußball
412_371;SG Union Sandersdorf;0;1;0;NULL;;;;Fußball
412_372;SG VfR Bad Lobenstein;0;1;0;NULL;;;;Fußball
412_373;SG Waldsolms;0;1;0;NULL;;;;Fußball
412_374;SG Wattenscheid 09;0;1;0;NULL;;;;Fußball
412_375;SGV Freiberg Fußball e. V.;0;1;0;NULL;;;;Fußball
412_376;Spielverein Lippstadt 08 e. V.;0;1;0;NULL;;;;Fußball
412_377;Spielvereinigung Geratal;0;1;0;NULL;;;;Fußball
412_378;Sport-Club Aplerbeck 09 e. V.;0;1;0;NULL;;;;Fußball
412_379;Sport-Club Freiburg e. V.;0;1;0;NULL;;;;Fußball
412_38;1. Göppinger Sportverein 1895 e. V.;0;1;0;NULL;;;;Fußball
412_380;Sport-Club Freiburg e. V. II;0;1;0;NULL;;;;Fußball
412_381;Sportclub Spelle-Venhaus 1946 e. V.;0;1;0;NULL;;;;Fußball
412_382;Sportclub Viktoria 06 Griesheim;0;1;0;NULL;;;;Fußball
412_383;Sportfreunde Charlottenburg-Wilmersdorf 03 e. V.;0;1;0;NULL;;;;Fußball
412_384;Sportfreunde Dorfmerkingen 1922 e. V.;0;1;0;NULL;;;;Fußball
412_385;Sportfreunde Eisbachtal;0;1;0;NULL;;;;Fußball
412_386;Sportfreunde Lotte;0;1;0;NULL;;;;Fußball
412_387;Sportfreunde Siegen von 1899 e. V.;0;1;0;NULL;;;;Fußball
412_388;Sportverein 1919 Straelen e. V.;0;1;0;NULL;;;;Fußball
412_389;Sportverein Bergisch-Gladbach 09 e. V.;0;1;0;NULL;;;;Fußball
412_39;1. Hanauer Fußball Club 1893 e. V.;0;1;0;NULL;;;;Fußball
412_390;Sportverein Darmstadt 1898 e. V.;0;1;0;NULL;;;;Fußball
412_391;Sportverein Großräschen e.V;0;1;0;NULL;;;;Fußball
412_392;Sportverein Rot-Weiß Walldorf e. V.;0;1;0;NULL;;;;Fußball
412_393;Sportverein Rot-Weiß-Hadamar e. V.;0;1;0;NULL;;;;Fußball
412_394;Sportverein Steinbach 1920;0;1;0;NULL;;;;Fußball
412_395;Sportverein von 1907 Linden e. V.;0;1;0;NULL;;;;Fußball
412_396;SpVg Blau-Weiß 1890 Berlin;0;1;0;NULL;;;;Fußball
412_397;SpVgg Bayern Hof;0;1;0;NULL;;;;Fußball
412_398;SpVgg Cochem;0;1;0;NULL;;;;Fußball
412_399;SpVgg Drochtersen/Assel;0;1;0;NULL;;;;Fußball
412_4;1. FC Bruchsal 1899 e. V.;0;1;0;NULL;;;;Fußball
412_40;1. SC 1911 Heiligenstadt;0;1;0;NULL;;;;Fußball
412_400;SpVgg Greuther Fürth;0;1;0;NULL;;;;Fußball
412_401;SpVgg Greuther Fürth II;0;1;0;NULL;;;;Fußball
412_402;SpVgg Lindau 1919 e. V.;0;1;0;NULL;;;;Fußball
412_403;SpVgg Neckarelz;0;1;0;NULL;;;;Fußball
412_404;SpVgg Oberfranken Bayreuth;0;1;0;NULL;;;;Fußball
412_405;SpVgg Plattling;0;1;0;NULL;;;;Fußball
412_406;SpVgg Unterhaching;0;1;0;NULL;;;;Fußball
412_407;SpVgg. 03 Neu-Isenburg;0;1;0;NULL;;;;Fußball
412_408;SpVgg. 07 Eschwege;0;1;0;NULL;;;;Fußball
412_409;SpVgg. Quierschied;0;1;0;NULL;;;;Fußball
412_41;1. SC Göttingen 05;0;1;0;NULL;;;;Fußball
412_410;SSC Schaffhausen;0;1;0;NULL;;;;Fußball
412_411;SSC Teutonia 1899 e. V.;0;1;0;NULL;;;;Fußball
412_412;SSV Einheit Perleberg e. V.;0;1;0;NULL;;;;Fußball
412_413;SSV Jahn Regensburg;0;1;0;NULL;;;;Fußball
412_414;SSV Jahn Regensburg II;0;1;0;NULL;;;;Fußball
412_415;SSV Jeddeloh II Fußball Geschäftsbetrieb GmbH;0;1;0;NULL;;;;Fußball
412_416;SSV Kästorf;0;1;0;NULL;;;;Fußball
412_417;SSV Pachten;0;1;0;NULL;;;;Fußball
412_418;SSV Reutlingen 1905 Fußball e. V.;0;1;0;NULL;;;;Fußball
412_419;SSV Ulm 1846 Fußball;0;1;0;NULL;;;;Fußball
412_42;1. SC Roden 1910;0;1;0;NULL;;;;Fußball
412_420;SSV Vorsfelde;0;1;0;NULL;;;;Fußball
412_421;Stadtauswahl Celle;0;1;0;NULL;;;;Fußball
412_422;Suryoye Kultur- und Sportverein Augsburg e. V.;0;1;0;NULL;;;;Fußball
412_423;SuS Sehnde;0;1;0;NULL;;;;Fußball
412_424;SV 07 Elversberg;0;1;0;NULL;;;;Fußball
412_425;SV 07 Elversberg II;0;1;0;NULL;;;;Fußball
