# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
265;PMK-politischer Kalender;PMK-politischer Kalender;ZIR;V1.8;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Ereignisdatum;Land_Gebiet
265_61;Marsch auf die Feldherrnhalle;0;1;0;NULL;;Putschversuch Hitlers;2001-01-01;2016-12-31;;1923-11-09;Deutschland
265_62;Massaker in den Palästinenserlagern "Sabra" und "Shattila" in Beirut;0;1;0;NULL;;;2001-01-01;2016-12-31;;1982-09-16/1982-09-17;Palästinensische Autonomiegebiete
265_63;Massaker von Deir Yassin;0;1;0;NULL;;;2001-01-01;2016-12-31;;1948-04-09;Palästinensische Autonomiegebiete
265_64;Massaker von Kafr Kassem;0;1;0;NULL;;;2001-01-01;2016-12-31;;1956-10-28;Palästinensische Autonomiegebiete
265_65;Militärische Machtübernahme;0;1;0;NULL;;;2001-01-01;2017-12-31;;1980-09-12;Türkei
265_66;Nagasaki;0;1;0;NULL;;Abwurf einer Atombombe auf die japanische Stadt durch die USA;2001-01-01;2018-12-31;;1945-08-09;Japan
265_67;Nationalfeiertag;0;1;0;NULL;;;2001-01-01;2016-12-31;;1958-07-17;Irak
265_68;NEWROZ;0;1;0;NULL;;kurdisches Neujahrsfest;2001-01-01;;;0000-03-20 oder 0000-03-21;Türkei
265_69;Niederschlagung des Aufstandes der Moslembrüder in Hamar;0;1;0;NULL;;;2001-01-01;2016-12-31;;1982-02-15;Syrien
265_7;Attentat auf HITLER;0;1;0;NULL;;;2001-01-01;2018-12-31;;1944-07-20;Deutschland
265_70;NSDAP;0;1;0;NULL;;Umbenennung der 1919 gegründeten "Deutschen Arbeiterpartei" (DAP);2001-01-01;2016-12-31;;1920-02-20;Deutschland
265_71;Öffnung der "DDR-Grenze";0;1;0;NULL;;;2001-01-01;;;1989-11-09;Deutschland
265_72;Rückkehr des Ayatollah KHOMEINI;0;1;0;NULL;;;2001-01-01;2016-12-31;;1979-02-01;Iran
